"google_dir","layer_top","layer_bot","layer_mid","time_series","layers","var_n","avg","min","max"
"BNZ3",3.5,0,NA,"NO","NO",3,43.4,40.1,45
"BNZ3",4,0,NA,"NO","NO",22,42.8,30.3,46.2
"BNZ3",4,2,NA,"NO","NO",2,46,45.6,46.4
"BNZ3",4,3,NA,"NO","NO",1,41.9,41.9,41.9
"BNZ3",5,0,NA,"NO","NO",18,36.7,20.6,46.8
"BNZ3",5,2,NA,"NO","NO",2,46,45.5,46.5
"BNZ3",5,3,NA,"NO","NO",1,44.2,44.2,44.2
"BNZ3",5,7,NA,"NO","NO",4,10.1,8.9,12.8
"BNZ3",5,8,NA,"NO","NO",8,7.5,1.6,21.6
"BNZ3",5,8.5,NA,"NO","NO",7,5.6,2.4,10.8
"BNZ3",5,9,NA,"NO","NO",20,7.1,0.4,19
"BNZ3",5,9.5,NA,"NO","NO",26,4.9,0.5,13.1
"BNZ3",5,10,NA,"NO","NO",61,5.6,0.9,19.4
"BNZ3",5,10.5,NA,"NO","NO",7,3.7,0.6,5.4
"BNZ3",5,11,NA,"NO","NO",14,4.6,0.2,10
"BNZ3",5,11.5,NA,"NO","NO",3,2.9,1.7,5
"BNZ3",5,12,NA,"NO","NO",3,3.8,2.3,6.4
"BNZ3",5,12.5,NA,"NO","NO",2,6.3,4.4,8.3
"BNZ3",5,13,NA,"NO","NO",2,2.7,1.7,3.7
"BNZ3",5,14,NA,"NO","NO",1,34.8,34.8,34.8
"BNZ3",5,16,NA,"NO","NO",1,6,6,6
"BNZ3",5.5,0,NA,"NO","NO",3,40.1,39.4,41
"BNZ3",5.5,3,NA,"NO","NO",1,25.5,25.5,25.5
"BNZ3",5.5,5,NA,"NO","NO",3,35.4,34.2,36.3
"BNZ3",6,0,NA,"NO","NO",4,43.8,42.5,45.1
"BNZ3",6,2,NA,"NO","NO",1,41.9,41.9,41.9
"BNZ3",7,0,NA,"NO","NO",5,42.9,40.4,45.1
"BNZ3",7,1,NA,"NO","NO",1,42.6,42.6,42.6
"BNZ3",7,2,NA,"NO","NO",4,43.3,38.2,46
"BNZ3",7,3,NA,"NO","NO",3,43.2,41.6,44.5
"BNZ3",7,3.5,NA,"NO","NO",1,44.1,44.1,44.1
"BNZ3",7,4,NA,"NO","NO",3,46.3,45.7,47
"BNZ3",7.5,0,NA,"NO","NO",2,44.9,44.8,44.9
"BNZ3",8,0.2,NA,"NO","NO",1,29.7,29.7,29.7
"BNZ3",8,2,NA,"NO","NO",2,44.9,43,46.8
"BNZ3",8,3,NA,"NO","NO",1,40.9,40.9,40.9
"BNZ3",8,4,NA,"NO","NO",1,40.7,40.7,40.7
"BNZ3",8,5,NA,"NO","NO",2,45.2,41.6,48.9
"BNZ3",8,6,NA,"NO","NO",2,45,41.8,48.2
"BNZ3",8.5,0,NA,"NO","NO",1,47.2,47.2,47.2
"BNZ3",9,0,NA,"NO","NO",3,43.5,41.8,44.6
"BNZ3",9,1,NA,"NO","NO",1,27.4,27.4,27.4
"BNZ3",9,2,NA,"NO","NO",1,37,37,37
"BNZ3",9,2.5,NA,"NO","NO",1,34.1,34.1,34.1
